IG,JG
248,141
249,141
1137,141
1638,141
249,142
250,142
1136,142
1137,142
1637,142
1638,142
250,143
251,143
1136,143
1637,143
251,144
1135,144
1136,144
1637,144
251,145
252,145
1135,145
1637,145
252,146
253,146
1134,146
1135,146
1636,146
1637,146
253,147
1133,147
1134,147
1636,147
253,148
254,148
1133,148
1636,148
254,149
1132,149
1133,149
1636,149
254,150
255,150
1131,150
1132,150
1636,150
255,151
1131,151
1636,151
255,152
256,152
1130,152
1131,152
1635,152
1636,152
256,153
1128,153
1129,153
1130,153
1633,153
1634,153
1635,153
256,154
1127,154
1128,154
1632,154
1633,154
256,155
1126,155
1127,155
1630,155
1631,155
1632,155
256,156
1124,156
1125,156
1126,156
1628,156
1629,156
1630,156
255,157
256,157
1123,157
1124,157
1627,157
1628,157
253,158
254,158
255,158
1121,158
1122,158
1123,158
1627,158
250,159
251,159
252,159
253,159
1120,159
1121,159
1626,159
1627,159
249,160
250,160
1119,160
1120,160
1626,160
249,161
1118,161
1119,161
1626,161
249,162
1117,162
1118,162
1625,162
1626,162
249,163
250,163
1116,163
1117,163
1624,163
1625,163
250,164
251,164
1115,164
1116,164
1623,164
1624,164
251,165
252,165
1113,165
1114,165
1115,165
1622,165
1623,165
252,166
253,166
1112,166
1113,166
1621,166
1622,166
253,167
1111,167
1112,167
1620,167
1621,167
253,168
1110,168
1111,168
1620,168
253,169
254,169
1109,169
1110,169
1619,169
1620,169
254,170
1109,170
1618,170
1619,170
254,171
1108,171
1109,171
1617,171
1618,171
254,172
255,172
1108,172
1616,172
1617,172
254,173
255,173
1107,173
1108,173
1615,173
1616,173
254,174
1106,174
1107,174
1614,174
1615,174
253,175
254,175
1105,175
1106,175
1614,175
252,176
253,176
1104,176
1105,176
1614,176
251,177
252,177
1103,177
1104,177
1614,177
251,178
1102,178
1103,178
1614,178
251,179
1102,179
1614,179
251,180
1101,180
1102,180
1614,180
251,181
1100,181
1101,181
1614,181
251,182
1100,182
1614,182
250,183
251,183
1099,183
1100,183
1614,183
1615,183
250,184
1098,184
1099,184
1615,184
250,185
1098,185
1615,185
249,186
250,186
1097,186
1098,186
1615,186
248,187
249,187
1097,187
1615,187
248,188
1096,188
1097,188
1615,188
1616,188
248,189
1096,189
1616,189
248,190
1095,190
1096,190
1616,190
247,191
248,191
1095,191
1616,191
247,192
1095,192
1616,192
247,193
1095,193
1616,193
1617,193
247,194
1095,194
1617,194
246,195
247,195
253,195
254,195
255,195
256,195
1094,195
1095,195
1616,195
1617,195
246,196
253,196
256,196
257,196
1094,196
1616,196
246,197
251,197
252,197
253,197
257,197
258,197
275,197
276,197
277,197
278,197
279,197
1094,197
1616,197
246,198
251,198
258,198
259,198
269,198
270,198
271,198
272,198
273,198
274,198
275,198
279,198
1093,198
1094,198
1615,198
1616,198
246,199
247,199
250,199
251,199
259,199
260,199
261,199
268,199
269,199
279,199
280,199
1093,199
1614,199
1615,199
247,200
248,200
250,200
261,200
262,200
263,200
264,200
265,200
266,200
267,200
268,200
280,200
281,200
1093,200
1612,200
1613,200
1614,200
248,201
249,201
250,201
281,201
282,201
1092,201
1093,201
1611,201
1612,201
282,202
283,202
1091,202
1092,202
1608,202
1609,202
1610,202
1611,202
283,203
284,203
1089,203
1090,203
1091,203
1608,203
284,204
285,204
1088,204
1089,204
1607,204
1608,204
285,205
1088,205
1607,205
285,206
286,206
1088,206
1607,206
286,207
1087,207
1088,207
1607,207
286,208
287,208
1087,208
1607,208
287,209
1087,209
1607,209
287,210
288,210
1087,210
1607,210
288,211
1086,211
1087,211
1607,211
288,212
1086,212
1607,212
288,213
1086,213
1607,213
288,214
1086,214
1606,214
1607,214
288,215
289,215
1085,215
1086,215
1605,215
1606,215
289,216
290,216
1085,216
1604,216
1605,216
290,217
1084,217
1085,217
1603,217
1604,217
290,218
1083,218
1084,218
1603,218
289,219
290,219
1083,219
1603,219
289,220
1083,220
1603,220
288,221
289,221
1083,221
1603,221
1604,221
288,222
1083,222
1604,222
1605,222
1606,222
287,223
288,223
1083,223
1606,223
1607,223
287,224
1082,224
1083,224
1607,224
287,225
1082,225
1607,225
1608,225
286,226
287,226
1082,226
1608,226
286,227
1082,227
1608,227
1609,227
286,228
1081,228
1082,228
1609,228
285,229
286,229
1081,229
1609,229
1610,229
285,230
1081,230
1610,230
285,231
296,231
297,231
298,231
299,231
300,231
1080,231
1081,231
1610,231
285,232
292,232
293,232
294,232
295,232
296,232
300,232
301,232
302,232
1080,232
1610,232
285,233
286,233
287,233
288,233
289,233
290,233
291,233
292,233
302,233
303,233
304,233
1079,233
1080,233
1610,233
304,234
1078,234
1079,234
1610,234
304,235
305,235
1077,235
1078,235
1609,235
1610,235
305,236
306,236
1077,236
1609,236
306,237
307,237
1077,237
1608,237
1609,237
307,238
308,238
1077,238
1608,238
308,239
309,239
310,239
1076,239
1077,239
1608,239
310,240
311,240
312,240
1076,240
1607,240
1608,240
312,241
313,241
1076,241
1607,241
313,242
314,242
315,242
1075,242
1076,242
1607,242
315,243
316,243
317,243
1075,243
1607,243
317,244
318,244
1075,244
1607,244
318,245
319,245
1074,245
1075,245
1607,245
319,246
320,246
1074,246
1607,246
320,247
321,247
322,247
1073,247
1074,247
1607,247
1608,247
322,248
323,248
1073,248
1608,248
323,249
324,249
1073,249
1608,249
324,250
325,250
1073,250
1608,250
325,251
326,251
327,251
1073,251
1608,251
327,252
328,252
1073,252
1608,252
1609,252
328,253
329,253
1073,253
1609,253
329,254
330,254
1073,254
1609,254
330,255
331,255
332,255
1073,255
1609,255
1610,255
332,256
333,256
334,256
1073,256
1610,256
334,257
335,257
1072,257
1073,257
1610,257
335,258
336,258
337,258
1072,258
1610,258
337,259
338,259
1072,259
1610,259
1611,259
338,260
339,260
1072,260
1073,260
1074,260
1611,260
339,261
340,261
1074,261
1075,261
1076,261
1611,261
340,262
341,262
1076,262
1611,262
1612,262
341,263
342,263
343,263
1076,263
1077,263
1612,263
343,264
344,264
345,264
1077,264
1078,264
1612,264
345,265
346,265
1078,265
1612,265
1613,265
346,266
347,266
1078,266
1079,266
1613,266
347,267
348,267
1079,267
1080,267
1613,267
348,268
349,268
350,268
1080,268
1613,268
1614,268
350,269
351,269
352,269
1080,269
1614,269
352,270
353,270
354,270
1080,270
1081,270
1614,270
354,271
355,271
1081,271
1614,271
1615,271
355,272
356,272
1081,272
1615,272
356,273
357,273
615,273
616,273
617,273
618,273
619,273
620,273
1081,273
1615,273
357,274
358,274
401,274
402,274
403,274
404,274
405,274
406,274
407,274
408,274
613,274
614,274
615,274
620,274
1081,274
1615,274
358,275
359,275
399,275
400,275
401,275
408,275
409,275
410,275
411,275
611,275
612,275
613,275
620,275
1081,275
1615,275
1616,275
359,276
360,276
361,276
389,276
390,276
391,276
392,276
393,276
394,276
395,276
396,276
397,276
398,276
399,276
411,276
412,276
610,276
611,276
620,276
621,276
1081,276
1616,276
1617,276
1618,276
1619,276
361,277
362,277
388,277
389,277
412,277
609,277
610,277
621,277
1081,277
1619,277
1620,277
